text_section,chapter_letter,paragraph_number,toponyms
closing_letters,CLOSING LETTERS,1,
closing_letters,CLOSING LETTERS,2,
closing_letters,CLOSING LETTERS,3,
closing_letters,CLOSING LETTERS,4,
closing_letters,CLOSING LETTERS,5,
closing_letters,CLOSING LETTERS,6,
closing_letters,CLOSING LETTERS,7,
closing_letters,CLOSING LETTERS,8,
closing_letters,CLOSING LETTERS,9,
closing_letters,CLOSING LETTERS,10,
closing_letters,CLOSING LETTERS,11,
closing_letters,CLOSING LETTERS,13,
closing_letters,CLOSING LETTERS,14,
closing_letters,CLOSING LETTERS,15,['England']
closing_letters,CLOSING LETTERS,16,
closing_letters,CLOSING LETTERS,17,
closing_letters,CLOSING LETTERS,19,
closing_letters,CLOSING LETTERS,20,
closing_letters,CLOSING LETTERS,21,
closing_letters,CLOSING LETTERS,22,
closing_letters,CLOSING LETTERS,23,
closing_letters,CLOSING LETTERS,24,
closing_letters,CLOSING LETTERS,25,
closing_letters,CLOSING LETTERS,26,
closing_letters,CLOSING LETTERS,27,
closing_letters,CLOSING LETTERS,29,
closing_letters,CLOSING LETTERS,30,
closing_letters,CLOSING LETTERS,32,
closing_letters,CLOSING LETTERS,33,"['England', 'England']"
closing_letters,CLOSING LETTERS,34,['England']
closing_letters,CLOSING LETTERS,35,
closing_letters,CLOSING LETTERS,36,
closing_letters,CLOSING LETTERS,37,
closing_letters,CLOSING LETTERS,38,
closing_letters,CLOSING LETTERS,39,
closing_letters,CLOSING LETTERS,40,['England']
closing_letters,CLOSING LETTERS,41,
closing_letters,CLOSING LETTERS,42,
closing_letters,CLOSING LETTERS,43,['England']
closing_letters,CLOSING LETTERS,44,
closing_letters,CLOSING LETTERS,45,
closing_letters,CLOSING LETTERS,46,
closing_letters,CLOSING LETTERS,47,
closing_letters,CLOSING LETTERS,48,
closing_letters,CLOSING LETTERS,49,
closing_letters,CLOSING LETTERS,50,
closing_letters,CLOSING LETTERS,51,['Switzerland']
closing_letters,CLOSING LETTERS,52,
closing_letters,CLOSING LETTERS,53,
closing_letters,CLOSING LETTERS,54,
closing_letters,CLOSING LETTERS,55,
closing_letters,CLOSING LETTERS,56,
closing_letters,CLOSING LETTERS,57,
closing_letters,CLOSING LETTERS,58,
closing_letters,CLOSING LETTERS,59,
opening_letters,LETTER I,1,
opening_letters,LETTER I,2,
opening_letters,LETTER I,3,
opening_letters,LETTER I,4,"['London', 'Petersburg']"
opening_letters,LETTER I,5,['North West Pacific Ocean - to the East']
opening_letters,LETTER I,6,
opening_letters,LETTER I,7,['Greenland']
opening_letters,LETTER I,8,
opening_letters,LETTER I,9,"['Russian Federation', 'Arkhangel’sk']"
opening_letters,LETTER I,10,
opening_letters,LETTER I,11,
opening_letters,LETTER I,12,
opening_letters,LETTER II,1,
opening_letters,LETTER II,2,
opening_letters,LETTER II,3,
opening_letters,LETTER II,4,
opening_letters,LETTER II,5,['Arkhangel’sk']
opening_letters,LETTER II,6,
opening_letters,LETTER II,7,
opening_letters,LETTER II,8,
opening_letters,LETTER II,9,"['Africa', 'United States']"
opening_letters,LETTER II,10,
opening_letters,LETTER II,11,
opening_letters,LETTER III,1,
opening_letters,LETTER III,2,
opening_letters,LETTER III,3,
opening_letters,LETTER III,4,"['England', 'Arkhangel’sk', 'England']"
opening_letters,LETTER III,5,
opening_letters,LETTER III,6,
opening_letters,LETTER III,7,
opening_letters,LETTER III,8,
opening_letters,LETTER IV,1,
opening_letters,LETTER IV,2,
opening_letters,LETTER IV,3,
opening_letters,LETTER IV,4,
opening_letters,LETTER IV,5,
opening_letters,LETTER IV,6,
opening_letters,LETTER IV,7,
opening_letters,LETTER IV,8,
opening_letters,LETTER IV,9,
opening_letters,LETTER IV,10,
opening_letters,LETTER IV,11,
opening_letters,LETTER IV,12,
opening_letters,LETTER IV,13,
opening_letters,LETTER IV,14,
opening_letters,LETTER IV,15,
opening_letters,LETTER IV,17,
opening_letters,LETTER IV,18,
opening_letters,LETTER IV,19,
opening_letters,LETTER IV,20,
opening_letters,LETTER IV,21,
opening_letters,LETTER IV,22,
opening_letters,LETTER IV,23,
opening_letters,LETTER IV,24,
opening_letters,LETTER IV,25,
opening_letters,LETTER IV,27,
opening_letters,LETTER IV,28,
opening_letters,LETTER IV,29,
opening_letters,LETTER IV,30,
opening_letters,LETTER IV,31,
opening_letters,LETTER IV,32,
opening_letters,LETTER IV,33,
opening_letters,LETTER IV,35,
opening_letters,LETTER IV,36,
opening_letters,LETTER IV,37,
opening_letters,LETTER IV,38,
opening_letters,LETTER IV,39,
vol_1,CHAPTER I,1,
vol_1,CHAPTER I,2,['Luzern']
vol_1,CHAPTER I,3,['Reuss']
